Tren,Hora,LHOS,BSAN,BPCN,BATR,BLSG,BFAB,BTBV,MBCF,MCRI,SPMF,MSRS,PDVA,GRCA,LFVA,LGAR,FIGA,SMCE,CENL,BEHO,BTSV,VICC,MANL,TORE,BORG,SQBE,LFBE,RIPO,CAMP,RIFE,PLAN,TOSE,LMOL,UALP,PUIG
78303,04:39,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
78301,04:54,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,
78305,05:24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,
78351,05:54,0.0,0.0,0.0,0.0,2.0,2.0,,,,,2.0,12.0,,,,,,,,,11.0,22.0,,,,,18.0,18.0,18.0,18.0,12.0,12.0,12.0,19.0
78307,06:24,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
78353,06:54,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,12.0,12.0,12.0,12.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,,,,,,
78309,07:24,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,11.0,11.0,11.0,11.0,11.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,
78311,07:54,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,14.0,14.0,,,,,,,,,,,,,,
78355,08:24,0.0,0.0,0.0,14.0,14.0,14.0,,,,,13.0,20.0,,,,,,,,,20.0,20.0,,,,,26.0,22.0,22.0,22.0,28.0,28.0,28.0,29.0
78313,08:54,0.0,0.0,0.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,
78357,09:24,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,16.0,,,,,,,,
78315,09:54,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0,,,,,,,,,,,,,,,,,,,,
78359,10:24,0.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,,,,,,,,
78317,10:54,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
78361,11:24,0.0,0.0,0.0,1.0,1.0,1.0,,,,,3.0,3.0,,,,,,,,,4.0,4.0,,,,,7.0,7.0,1.0,1.0,1.0,8.0,8.0,8.0
78319,11:54,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,
78363,12:24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,13.0,13.0,13.0,13.0,11.0,13.0,13.0,14.0,14.0,,,,,,,,
78321,12:54,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,17.0,20.0,,,,,,,,,,,,,,
78365,13:24,0.0,0.0,0.0,0.0,13.0,18.0,13.0,13.0,35.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,,,,,,,,
78323,13:54,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,43.0,43.0,43.0,43.0,43.0,43.0,,,,,,,,,,,,,,,,,,,,
78367,14:24,0.0,0.0,31.0,31.0,31.0,29.0,,,,,29.0,29.0,,,,,,,,,24.0,24.0,,,,,24.0,28.0,28.0,28.0,24.0,24.0,24.0,24.0
78325,14:54,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,33.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,
78369,15:24,0.0,0.0,0.0,0.0,0.0,24.0,23.0,23.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,32.0,32.0,32.0,23.0,32.0,32.0,32.0,35.0,35.0,35.0,,,,,,,,
78327,15:54,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,20.0,9.0,9.0,9.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,
78371,16:24,0.0,1.0,-1.0,-1.0,-1.0,-1.0,,,,,0.0,0.0,,,,,,,,,-1.0,-1.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,6.0,
