Tren,Hora,LTQV,PUIG,UALP,LMOL,TOSE,PLAN,RIFE,CAMP,RIPO,LFBE,SQBE,BORG,TORE,MANL,VICC,BTSV,BEHO,CENL,SMCE,FIGA,LGAR,LFVA,GRCA,PDVA,MSRS,SPMF,MCRI,MBCF,BTBV,BFAB,BLSG,BATR,BPCN,BSAN
78302,05:05,,,,,,,,,,,,,,,,,,,,,,,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
78300,05:29,,,,,,,,,,,,,,,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
78304,05:35,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,1.0
78352,05:44,,,,,,,,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,23.0,23.0,23.0,23.0,27.0,27.0,27.0,27.0,27.0,27.0,35.0,35.0,35.0,31.0,35.0
78306,05:59,,,,,,,,,,,,,,,0.0,0.0,6.0,6.0,6.0,6.0,6.0,14.0,14.0,20.0,14.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
78354,06:55,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,13.0,11.0,10.0,10.0,10.0
78308,06:59,,,,,,,,,,,,,,,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,8.0,8.0,8.0,8.0,18.0,8.0,8.0,8.0,8.0,21.0,21.0
78358,07:08,,0.0,1.0,1.0,1.0,6.0,6.0,6.0,,,,,-3.0,-2.0,,,,,,,,,10.0,10.0,,,,,13.0,13.0,13.0,13.0,23.0,23.0
78356,07:15,,,,,,,,,1.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,3.0,5.0,5.0,5.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,26.0,26.0,26.0
78310,07:29,,,,,,,,,,,,,,,0.0,7.0,7.0,7.0,7.0,7.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,19.0,22.0,22.0,29.0,29.0,28.0,28.0
78312,08:29,,,,,,,,,,,,,,,0.0,7.0,7.0,7.0,7.0,7.0,7.0,14.0,14.0,14.0,14.0,22.0,21.0,21.0,39.0,39.0,39.0,39.0,39.0,39.0
78350,08:30,0.0,0.0,2.0,2.0,2.0,6.0,6.0,5.0,,,,,5.0,-2.0,,,,,,,,,2.0,8.0,,,,,6.0,6.0,1.0,0.0,0.0,0.0
78316,09:59,,,,,,,,,,,,,,,0.0,0.0,8.0,8.0,8.0,8.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,22.0
78314,10:05,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,18.0,30.0,30.0,30.0
78360,10:26,,,,,,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,4.0,4.0,4.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,12.0,11.0,9.0,11.0,7.0,11.0,11.0
78362,10:30,0.0,0.0,5.0,5.0,5.0,6.0,6.0,6.0,,,,,5.0,0.0,,,,,,,,,16.0,16.0,,,,,15.0,15.0,16.0,13.0,13.0,13.0
78318,11:28,,,,,,,,,,,,,,,,,,,,,0.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,9.0,9.0,6.0,9.0,9.0
78320,12:28,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,8.0,8.0,8.0,8.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
78364,12:44,,,,,,,,,0.0,0.0,0.0,0.0,4.0,4.0,17.0,17.0,17.0,17.0,17.0,17.0,21.0,21.0,21.0,21.0,28.0,28.0,28.0,21.0,26.0,28.0,28.0,28.0,25.0,25.0
78322,12:59,,,,,,,,,,,,,,,0.0,0.0,0.0,5.0,5.0,8.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0
78368,13:30,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,,,,,4.0,-1.0,,,,,,,,,7.0,6.0,,,,,6.0,6.0,6.0,6.0,6.0,6.0
78366,13:44,,,,,,,,,0.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0
78324,13:59,,,,,,,,,,,,,,,0.0,0.0,7.0,7.0,7.0,9.0,9.0,9.0,15.0,15.0,15.0,15.0,15.0,9.0,14.0,14.0,14.0,14.0,14.0,14.0
78326,15:28,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,7.0,7.0,7.0,7.0,10.0
78370,15:44,,,,,,,,,0.0,7.0,7.0,7.0,7.0,-1.0,0.0,-1.0,-1.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,18.0,18.0,17.0,18.0,17.0
78328,15:59,,,,,,,,,,,,,,,0.0,0.0,0.0,9.0,9.0,9.0,8.0,21.0,21.0,21.0,21.0,19.0,23.0,23.0,23.0,23.0,23.0,26.0,24.0,23.0
78374,16:30,0.0,0.0,0.0,5.0,5.0,5.0,4.0,4.0,,,,,9.0,2.0,,,,,,,,,4.0,11.0,,,,,10.0,10.0,12.0,14.0,12.0,12.0
78372,16:44,,,,,,,,,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,11.0,11.0,14.0,10.0
78330,17:28,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
78332,17:59,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0
78334,18:59,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0,45.0,45.0,46.0,45.0,48.0,46.0,50.0,50.0,50.0,50.0,50.0
78378,19:00,0.0,0.0,0.0,3.0,3.0,14.0,14.0,14.0,,,,,16.0,16.0,,,,,,,,,17.0,24.0,,,,,24.0,24.0,20.0,20.0,22.0,22.0
78376,19:12,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,6.0
78336,20:05,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0
78338,20:29,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,6.0
78380,21:14,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,13.0,13.0
78340,21:29,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,16.0,16.0,16.0,16.0,16.0,20.0,20.0,20.0,20.0,20.0,22.0,22.0,22.0,17.0,17.0,17.0
78342,22:29,,,,,,,,,,,,,,,0.0,4.0,4.0,3.0,3.0,13.0,13.0,12.0,12.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
