Tren,Hora,LHOS,BSAN,BPCN,BATR,BLSG,BFAB,BTBV,MBCF,MCRI,SPMF,MSRS,PDVA,GRCA,LFVA,LGAR,FIGA,SMCE,CENL,BEHO,BTSV,VICC,MANL,TORE,BORG,SQBE,LFBE,RIPO,CAMP,RIFE,PLAN,TOSE,LMOL,UALP,PUIG
78375,17:54,0.0,13.0,13.0,13.0,13.0,13.0,,,,,16.0,16.0,,,,,,,,,35.0,33.0,,,,,33.0,35.0,35.0,35.0,32.0,32.0,37.0,
78331,18:24,0.0,0.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,17.0,9.0,9.0,9.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,
78377,18:45,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,16.0,16.0,,,,,,,,,,,,
78333,18:54,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,6.0,11.0,11.0,11.0,11.0,15.0,15.0,15.0,20.0,,,,,,,,,,,,,,
78335,19:24,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,28.0,28.0,28.0,0.0,28.0,30.0,30.0,30.0,30.0,30.0,30.0,34.0,,,,,,,,,,,,,,
78379,19:54,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,15.0,15.0,15.0,15.0,15.0,17.0,14.0,17.0,16.0,17.0,,,,,,,,
78337,20:24,0.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,16.0,14.0,14.0,16.0,16.0,17.0,21.0,21.0,21.0,21.0,23.0,,,,,,,,,,,,,,
78381,20:54,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,12.0,5.0,5.0,12.0,12.0,19.0,19.0,19.0,19.0,20.0,19.0,21.0,20.0,21.0,21.0,,,,,,,,
78339,21:24,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,
78341,21:54,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
78343,22:24,0.0,20.0,20.0,17.0,17.0,16.0,17.0,17.0,17.0,21.0,21.0,21.0,21.0,21.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,
